Smile,redock_score
c1cc2cc3C(N(CCCOCC)C(Nc3cc2cc1)=S)=O,1.734
c1ccc(N2CCN([S+2](c3c([nH0](c(c3C(N3CCCCCC3)=O)C)C)C)([O-])[O-])CC2)cc1,1.709
N1(/C/2=C(\C=C(/C1=O)\C#N)/C(CC(C2)(C)C)=O)c1c(c(ccc1)C)C,1.853
c1ccc([nH0]2c(NC(c3ccc(cc3)C)=O)c(C(Nc3cc(ccc3)Cl)=O)c[nH0]2)cc1,1.813
c1ccc(S(=O)=ON(CC(Nc2c([N+]([O-])=O)cccc2)=O)c2cc(Cl)c(cc2)Cl)cc1,1.702
c1(cc(F)ccc1)C(N(Cc1ccc(c(OS(C)(=O)=O)c1)OC)Cc1occc1)=O,1.717
C(N(Cc1ccccc1)C)(=O)CCCOc1c(cc(cc1)Cl)Cl,1.839
N(C(c1ccc(cc1)n1nc(cc1c1cccc(c1)OC)C(OCC)=O)=O)CC(C)(C)C,1.706
CCCCOc1ccc(C(Nc2[nH0]([nH0]c(c2)C)c2c3c([nH0](c4c(cc(cc4)C)C)[nH0]c3)[nH0]c[nH0]2)=O)cc1,1.792
CC(OC(C1C(C(NCCc2c3c([nH]c2C)ccc(c3)OC(F)(F)F)=O)CC=CC1)=O)C,1.726
c1(n(c(cn1)C)CC1CCN(C(CCc2c(n(nc2C)C)C)=O)CC1)c1cnccc1,1.766
c1(NC(=O)C2CC(=O)N(c3ccc(cc3)OCC)C2)ccc(cc1)C,1.716
n1c(onc1CCN(C(=O)C1CCCCC1)C)c1cc(ccc1)C,1.74
Cc1c(cc([nH0]2c(c3Sc4c(c3[nH0][nH0]2)cc(c([nH0]4)C)C)=O)cc1)Cl,1.741
c1ccc(C(NC2=NC(=NS2)SC)=O)cc1,1.829
c12c(/N=C(\N(C1=O)Cc1ccc(cc1)C)/SCC(Nc1c(Cl)cccc1)=O)c(nn2CC)C,1.735
CC(c1ccc(c2[nH0][nH0]c(SCC3=NC(c4ccc(C(F)(F)F)cc4)=NO3)cc2)cc1)C,1.83
c1cc2[nH0]c(cc(c2cc1)C(NCc1cc(ccc1)C)=O)C,1.791
n1c([C@H]2N(C[C@@H](NS(=O)(=O)C)C2)CC(CC)CC)[nH]nc1c1ccccc1,1.7
c1ccc(CSC2c3c(cc4c(c3)OCCO4)CC(N=2)(C)C)cc1,1.732
C(CCC(NCCOC(c1ccc([N+](=O)[O-])cc1)=O)=O)CCCC(=O)NCCOC(c1ccc([N+]([O-])=O)cc1)=O,1.724
Cc1ccc([nH0]2c([nH0](C)c(c([nH0]2)C2N=C(CCC(Nc3c(cc(cc3)C)C)=O)ON=2)=O)=O)cc1,1.71
N1(C(NCc2ccccc2)=O)CC(c2nc(ncc2COCC)C)CCC1,1.798
c1(C)c(c2ccc(cc2)F)n(nc1c1oc(nn1)C)c1ccc(cc1)C(=O)N(C)CCCC,1.826
C1CCC(NC(c2c(c3NC(CC([nH0]3[nH0]2)C(F)(F)F)c2cc(OC)c(cc2)OC)Cl)=O)CC1,1.874
c1(c2c(n(n1)C)CCN(C2)C(=O)C1CCC1)c1ncc(n1CCC)C,1.701
c1(sc(c2cc(S(Nc3cc(C(=O)C)ccc3)(=O)=O)sc2)nc1C)C(N1CCCCC1)=O,1.8
C1(=NOC(c2c(c3OCOc3c(c2)OC)OC)C1C)C(=O)OC,1.798
CC(NC(C1C=C(ON=1)C1CC1)=O)COC,1.795
c1ccc(C(NC2Sc3c(N=2)c(cc(c3)NC(Nc2ccc(OC)cc2)=O)OC)=O)cc1,1.716
